18-06-22 10:51:20 Garys-Air.lan DEBUG [ncp-parser.frr.generator:87] - executing vector-handler  [{:interface {:<name> "eth0", :ip_address "10.0.18.1/24"}} {:interface {:<name> "eth1", :ip_address "10.0.19.1/24"}} {:interface {:<name> "eth2", :ip_address "10.0.15.2/24"}} {:interface {:<name> "eth3", :ip_address "10.0.13.2/24"}} {:interface {:<name> "eth4", :ip_address "10.0.11.2/24"}} {:interface {:<name> "eth5", :ip_address "10.0.9.2/24"}}]
18-06-22 10:51:20 Garys-Air.lan DEBUG [ncp-parser.frr.generator:104] - executing map-handler  {:interface {:<name> "eth0", :ip_address "10.0.18.1/24"}}
18-06-22 10:51:20 Garys-Air.lan DEBUG [ncp-parser.frr.generator:87] - executing vector-handler  [:interface {:<name> "eth0", :ip_address "10.0.18.1/24"}]
18-06-22 10:51:20 Garys-Air.lan DEBUG [ncp-parser.frr.generator:62] - adding keyword -->>  interface 
18-06-22 10:51:20 Garys-Air.lan DEBUG [ncp-parser.frr.generator:104] - executing map-handler  {:<name> "eth0", :ip_address "10.0.18.1/24"}
18-06-22 10:51:20 Garys-Air.lan DEBUG [ncp-parser.frr.generator:87] - executing vector-handler  [:<name> "eth0"]
18-06-22 10:51:20 Garys-Air.lan DEBUG [ncp-parser.frr.generator:74] - adding string -->>  eth0
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:87] - executing vector-handler  [:ip_address "10.0.18.1/24"]
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:62] - adding keyword -->>  ip address 
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:74] - adding string -->>  10.0.18.1/24
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:104] - executing map-handler  {:interface {:<name> "eth1", :ip_address "10.0.19.1/24"}}
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:87] - executing vector-handler  [:interface {:<name> "eth1", :ip_address "10.0.19.1/24"}]
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:62] - adding keyword -->>  interface 
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:104] - executing map-handler  {:<name> "eth1", :ip_address "10.0.19.1/24"}
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:87] - executing vector-handler  [:<name> "eth1"]
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:74] - adding string -->>  eth1
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:87] - executing vector-handler  [:ip_address "10.0.19.1/24"]
18-06-22 10:51:21 Garys-Air.lan DEBUG [ncp-parser.frr.generator:62] - adding keyword -->>  ip address 
